tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6000    0.001    0.000    0.001    0.000 NetDiffGlobalRule.py:16(getLocalTarget)
     6000    0.001    0.000    0.001    0.000 NetDiffGlobalRule.py:13(getLocalLabel)
      118    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      472    0.000    0.000    0.001    0.000 random.py:285(choice)
        1    0.000    0.000    0.001    0.001 copy.py:1(<module>)
     7232    0.001    0.000    0.001    0.000 NetDERQuery.py:18(get_exist_var)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
        8    0.001    0.000    0.001    0.000 NetDERKB.py:67(get_data_from_pred)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        1    0.000    0.000    0.001    0.001 OntDB.py:1(<module>)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
        3    0.000    0.000    0.001    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
     12/3    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.001    0.001 Constant.py:1(<module>)
     16/3    0.000    0.000    0.001    0.000 sre_parse.py:493(_parse)
        2    0.000    0.000    0.001    0.000 enum.py:434(_convert_)
     7044    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 EnhancedTipping.py:1(<module>)
      472    0.001    0.000    0.001    0.000 NetDiffFact.py:7(__init__)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       10    0.000    0.000    0.001    0.000 enum.py:278(__call__)
     2504    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.001    0.000 enum.py:381(_create_)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     2832    0.001    0.000    0.001    0.000 NetCompTarget.py:14(getLabel)
        6    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      472    0.000    0.000    0.001    0.000 random.py:250(_randbelow_with_getrandbits)
       19    0.000    0.000    0.000    0.000 abc.py:84(__new__)
     2832    0.000    0.000    0.000    0.000 NetCompTarget.py:11(getBound)
        2    0.000    0.000    0.000    0.000 NetDiffGraph.py:8(__init__)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        6    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 NetDiffGraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 NetDiffEdge.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
       42    0.000    0.000    0.000    0.000 ntpath.py:221(dirname)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        3    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        3    0.000    0.000    0.000    0.000 enum.py:129(__new__)
       42    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 Null.py:1(<module>)
