tiempo total: 0:00:35.266278
tiempo de traduccion: 1900-01-01 00:00:00.016558
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.071923
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.009589
tiempo creacion kb: 0:00:01.009957
tiempo para responder consulta: 0:00:29.023667
         84147746 function calls (83634982 primitive calls) in 35.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
     7236    0.003    0.000    0.005    0.000 Atom.py:108(get_variables)
       41    0.000    0.000    0.005    0.000 sre_parse.py:937(parse)
    21696    0.005    0.000    0.005    0.000 NetDERRule.py:11(get_id)
   112/41    0.000    0.000    0.004    0.000 sre_parse.py:435(_parse_sub)
   154/64    0.001    0.000    0.004    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.004    0.004 hashlib.py:5(<module>)
       22    0.000    0.000    0.004    0.000 ntpath.py:625(realpath)
        1    0.000    0.000    0.004    0.004 traceback.py:1(<module>)
        1    0.000    0.000    0.004    0.004 visit.py:7(<module>)
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
    14070    0.004    0.000    0.004    0.000 {method 'remove' of 'list' objects}
    27308    0.004    0.000    0.004    0.000 Label.py:7(getValue)
     7248    0.004    0.000    0.004    0.000 NetDERKB.py:205(get_columns)
        1    0.000    0.000    0.003    0.003 NLocalLabel.py:1(<module>)
        1    0.000    0.000    0.003    0.003 RDBHomomorphism.py:53(RDBHomomorphism)
        3    0.000    0.000    0.003    0.001 {built-in method strptime}
        1    0.000    0.000    0.003    0.003 Average.py:1(<module>)
       44    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
     4219    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      158    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 linecache.py:1(<module>)
        1    0.000    0.000    0.003    0.003 NetDiffFact.py:1(<module>)
        8    0.000    0.000    0.003    0.000 lex.py:829(validate_file)
    12895    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
       32    0.003    0.000    0.003    0.000 {built-in method io.open}
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lexer.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:10(<module>)
        1    0.000    0.000    0.003    0.003 and_node.py:1(<module>)
      644    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
       41    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
    14468    0.002    0.000    0.002    0.000 NetDERKB.py:336(get_net_diff_graph)
        8    0.000    0.000    0.002    0.000 yacc.py:3036(yacc)
      272    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
    17708    0.002    0.000    0.002    0.000 Atom.py:18(get_terms)
        1    0.000    0.000    0.002    0.002 subprocess.py:732(__init__)
        1    0.000    0.000    0.002    0.002 subprocess.py:1224(_execute_child)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
